date,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1972-01-31,0.010064601239131863,-0.012954785120272138,,0.011241416,0.010064601239131863,-0.029480581636619416,,,,0.011241416,,,,,,,,,,,0.01006460123913186,-0.029480581636619412
1972-02-29,-0.0375280755409972,0.03853035865271264,-0.059689479085000004,0.034710842865568546,-0.022392028205946407,0.04113905496729383,-0.059689479085,0.0430272067542,,0.022660791,,,,,,,,,,,-0.022392028205946407,0.04113905496729383
1972-03-31,0.053547842601056474,-0.04282389650491348,-0.0101656778542,0.012243504168584237,0.09706362713061804,-0.08043445585226251,-0.0101656778542,0.0127680892891,,0.011483403,,,,,,,,,,,0.09706362713061804,-0.08043445585226251
1972-04-30,0.007434346155831316,0.010657869297793733,-0.00429256647288,0.02208129976603007,0.015443726260739567,0.0028557648889925404,-0.00429256647288,0.0207673080332,,0.023985217,,,,,,,,,,,0.015443726260739567,0.0028557648889925404
1972-05-31,-0.019909181813289524,0.007095462169738784,-0.0566995251272,0.013357758119786402,0.005218305115344678,0.0028183680886796365,-0.0566995251272,0.0551658029382,,-0.047220292,,,,,,,,,,,0.005218305115344678,0.0028183680886796365
1972-06-30,-0.01670818031441885,-0.0298089985882001,-0.0356706793352,0.003445795247410379,-0.003756957157478112,-0.05252173574014677,-0.0356706793352,0.0232269692517,,-0.025216271,,,,,,,,,,,-0.003756957157478112,-0.05252173574014677
1972-07-31,0.09182043915270202,-0.05623374940360574,0.0017143506825099998,0.009281310275081774,0.1533621198297897,-0.10097996967283787,0.00171435068251,0.00867960445804,,0.010153156,,,,,,,,,,,0.1533621198297897,-0.10097996967283787
1972-08-31,0.04471802641055683,-0.04029685422826012,0.0675902011472,-0.030236911713682712,0.029096528485933318,-0.047167708133618445,0.0675902011472,-0.0492455060614,,-0.00269428,,,,,,,,,,,0.029096528485933318,-0.047167708133618445
1972-09-30,-0.00582743588307111,0.01458454924196237,-0.005477323840730001,0.0025903738061607523,-0.006066559386008287,0.02277646753724224,-0.00547732384073,0.0073622647885,,-0.00432389,,,,,,,,,,,-0.006066559386008287,0.02277646753724224
1972-10-31,0.026071568921167028,-0.0327345493743235,0.00538195483404,0.011248030977239297,0.040202396760879076,-0.06277427212009169,0.00538195483404,-0.00245791129586,,0.031107349,,,,,,,,,,,0.040202396760879076,-0.06277427212009169
1972-11-30,0.012616722973171889,-0.01883197649011316,0.0691982464383,-0.026214725668672584,-0.026027969171754352,-0.013789622525139544,0.0691982464383,-0.0561499605772,,0.017160136,,,,,,,,,,,-0.026027969171754352,-0.013789622525139544
1972-12-31,-0.07389998199342619,-0.012382919129075685,-0.0561925064207,0.03679423624337247,-0.08599403496804339,-0.045970491777287015,-0.0561925064207,0.0597168717803,,0.003580328,,,,,,,,,,,-0.08599403496804339,-0.045970491777287
1973-01-31,-0.014830718171755339,-0.006127240251312491,-0.00873680477109,0.017155671170391375,-0.01899280842497541,-0.022029267786570828,-0.00873680477109,0.0423173340995,,-0.019302491,,,,,,,,,,,-0.01899280842497541,-0.022029267786570828
1973-02-28,0.03555817538180142,0.058798078335396985,0.005736182525150002,0.014667266238290498,0.05592633909523977,0.08893904208391357,0.00573618252515,0.02038070665,,0.006388738,,,,,,,,,,,0.055926339095239766,0.08893904208391355
