date,nan,nan,nan,nan,nan
1985-01-31,0.0430656840875,-0.0140423499153,0.153375702783,-0.0156250386234,0.05604078964
1985-02-28,0.0381283572367,0.0474490059784,0.0430608465146,-0.193814897323,0.0993158768092
1985-03-31,-0.0527186264907,-0.0834907159498,0.0328034066618,0.071045410554,-0.117085377758
1985-04-30,0.0396339206576,0.0600505679192,0.024412726163,0.0474996109576,0.0195043361412
1985-05-31,0.0639184945413,0.0455164948156,0.121216085233,0.144523580075,0.0201464392887
1985-06-30,0.010832082759,0.0464698936839,0.0069116112249,0.00151756978314,-0.033609624742
1985-07-31,-0.030555858881,0.0326355627076,-0.0223405442558,-0.0111581576869,-0.132704425832
1985-08-31,0.0522580255168,0.040448797894,0.06631777055,0.158597997574,0.0229962985218
1985-09-30,0.0066317821423,0.021128661202,-0.00947535451687,0.145567837459,-0.0481371291368
1985-10-31,0.00786208076486,-0.0177636547141,0.12472422145,-0.181499668279,0.0196391835272
1985-11-30,0.0478923203251,-0.00047507796578,0.112089717069,0.07423632469870001,0.0594834188882
1985-12-31,0.0220750039143,-0.00546622432075,0.106416653237,0.0959303373454,-0.0267829375552
1986-01-31,-0.0260395242898,-0.0919249352905,0.0566824312452,-0.0307552982719,0.0123190502207
1986-02-28,0.101386689515,0.0592464507491,0.166338878781,0.222010957724,0.0756748163118
1986-03-31,0.0858393274583,0.0466236029577,0.316653961427,0.209417925743,-0.0663729503202
1986-04-30,0.00731224760811,-0.0731751964364,0.0363700830762,0.0553464899398,0.0929430564394
1986-05-31,-0.0419919607424,-0.0395545219069,-0.00393010369047,-0.152513530409,-0.02834697766
1986-06-30,0.0372896799797,0.0335635197759,-0.0268916696637,0.0647141125958,0.079898598945
1986-07-31,0.0395022166246,0.0411010542609,-0.0386248355218,0.0142367533101,0.106093289191
1986-08-31,0.0246058006815,-0.0501017873501,0.186232096264,0.0987976710003,-0.00924018592166
1986-09-30,-0.0405446928047,0.0120476992876,-0.0813032624363,-0.214668330718,-0.020695537263
1986-10-31,-0.0124481539133,0.00745287060355,0.0298962287726,0.0123813696687,-0.0860620312386
1986-11-30,0.0416178981506,0.0213760647407,0.032453306644,0.0822902314308,0.0635941058127
1986-12-31,-0.00301359984141,-0.034963485001899997,0.0323601943701,-0.0144965981265,0.0258279552895
1987-01-31,0.0654878027173,0.0234350518899,0.0739948588374,0.0959077498769,0.113016054788
1987-02-28,0.0392469659063,0.0390925148492,0.0714799361184,0.0623019597884,0.00571053830354
1987-03-31,0.0437458072991,0.0291738286588,0.0596395665934,0.114907179952,0.0252472154037
1987-04-30,-0.00774275560985,0.0119082223554,0.0128506400133,-0.0717184204756,-0.0223140183393
1987-05-31,0.0172201674595,0.0368510440289,0.0628533796362,0.0102258177543,-0.0445897880554
1987-06-30,-0.000999462307813,0.0329795965746,0.00939804484109,-0.148177919691,0.0109914594582
1987-07-31,0.0401819773673,0.0819514200564,0.0932034582689,-0.0295895558109,-0.0308333176444
1987-08-31,0.0100997020065,-0.0359208189426,0.0588464542153,0.0655162170027,0.018697205188
1987-09-30,0.0395311389726,0.0241594819069,0.0219560947836,0.0689200403103,0.0623564284664
1987-10-31,-0.105765616884,0.00716979288402,-0.347652361505,-0.203306210011,-0.0543946606546
1987-11-30,0.0468386635579,0.0364983449554,0.0605494745811,0.0321371418734,0.0602784872534
1987-12-31,0.0173483783313,-0.021675374583,0.00201501087268,0.00272390354849,0.0979482500975
1988-01-31,-0.0020282638582,-0.0205452502125,0.0391323887593,-0.0198774966379,0.00534442479621
1988-02-29,0.00558745553591,0.0167739988365,-0.0559498566113,0.0231292500399,0.0252575155017
1988-03-31,0.0419786720565,0.0152563432475,0.0189720797989,0.0689337692114,0.0880664216199
1988-04-30,0.00226017903748,-0.0124030597578,-0.022740430801,0.0180880657303,0.0363134878291
1988-05-31,0.0206220608636,0.0202543377027,-0.00509069231516,-0.0449121868587,0.0732559779468
1988-06-30,-0.00413297573447,0.0352044231169,-0.0568051573269,0.0560567221792,-0.0570079033449
1988-07-31,-0.018881378756,-0.0651580110873,-0.0449764197244,-0.0247653980654,0.0769032461497
1988-08-31,0.0140011057967,0.065453615194,0.049742081767,-0.0854855429134,-0.0445277750386
1988-09-30,0.0212645601596,0.0514419378628,-0.0768462689026,0.0510154382441,0.0321913948839
1988-10-31,0.0057001423919,-0.0147600299132,-0.0578781327647,0.118421427054,0.0294184792447
1988-11-30,0.00147601122372,-0.0238564121677,-0.0501015432776,-0.0439062510728,0.102959978618
1988-12-31,0.00467325948042,-0.0180902769726,0.0664728305665,-0.0532757275092,0.0233403407113
1989-01-31,0.0628893470999,-0.0124029288885,0.120570202469,-0.0496689741802,0.195120636528
1989-02-28,-0.0500445089519,0.0037065603943,-0.105899119843,0.116252753808,-0.176408041961
1989-03-31,0.0595052620386,0.0469243667031,0.0400672754369,0.00821317409691,0.119649546909
1989-04-30,0.00976486754166,0.00417012849141,0.0616669448376,-0.0544222332645,0.0117901968024
1989-05-31,0.0227575393477,0.0068590793087,0.00507203614837,0.0665556328561,0.0392951817214
1989-06-30,-0.00173874193148,0.00797911099668,0.0189333567729,0.000470542438321,-0.0337340586142
1989-07-31,0.0416078850486,0.0681172545179,0.145205251023,-0.0794908748039,-0.0175139278322
1989-08-31,0.0331340261664,0.0208321501144,0.0296175736026,-0.0213149773149,0.0824738377456
1989-09-30,0.0116498966284,0.0362271638981,-0.0273002692067,0.0858379801135,-0.0351455272481
1989-10-31,-0.0222559249675,0.00212536911812,-0.209215176827,0.0870175732502,0.0247230491828
1989-11-30,0.0225906230239,-0.0168959455466,0.0685392334452,0.0658589173317,0.0290154182907
1989-12-31,0.0591966696596,0.0966779865977,0.0826604348797,-0.0185491779638,0.0211263510708
1990-01-31,-0.00625464512981,0.0376960645979,-0.0703113243147,0.164851123145,-0.113353643614
1990-02-28,0.00861139199032,-0.0275855206481,-0.038746818895,0.211827817696,-0.000166384354183
1990-03-31,0.0488367204336,0.000333727758814,0.0648601552632,0.0876267900788,0.0942205145572
1990-04-30,-0.0159391263752,-0.0344653524105,-0.077746536095,0.0729380177272,0.015311050086
1990-05-31,-0.0488431629701,-0.0063973678075,-0.0717565788466,-0.18337844371,-0.0315963030339
1990-06-30,0.00998235305628,0.00539244661005,-0.00625383492571,-0.0213508529507,0.0450934489194
1990-07-31,0.0338611954536,0.0466317750732,0.00990015989921,-0.009180612915,0.0520685769376
1990-08-31,0.109783386143,0.121838919831,0.167995617518,0.142757792248,0.029544453411
1990-09-30,0.0506438422419,0.0453981164697,0.142491520472,0.0543304829747,-0.0113423605103
1990-10-31,-0.0391713970651,0.0125647817189,-0.08365647324,-0.0930520512945,-0.0650942274593
1990-11-30,-0.00567390130774,-0.0217326567755,0.0326762305278,-0.033824733783,0.00640350849953
1990-12-31,0.00830858170148,0.0202995884067,0.020736035974,-7.36308762288e-05,-0.0168059138893
1991-01-31,-0.00332949367137,0.00292077153281,-0.030127452102,-0.0668565351439,0.0381153872142
1991-02-28,-0.0214632357334,0.0272214244207,-0.135592727891,-0.0506942161591,-0.00239172665887
1991-03-31,-0.0189675001139,-0.0133391530479,-0.0350107119731,-0.0216652561179,-0.0149667916607
1991-04-30,0.0335279920337,0.0481049968652,-0.0149784387636,0.0297150641226,0.0481547590197
1991-05-31,-0.00755614048455,-0.00338007134016,-0.0247645422516,0.015709686632,-0.0171205058109
1991-06-30,0.00865432143095,0.0125418206665,0.0737335865342,-0.0733377022735,0.00802705634725
1991-07-31,-0.0252208243228,-0.0387912956689,-0.0171317773037,0.0219444495039,-0.0389828006159
1991-08-31,0.0344704516131,0.00617643168185,0.0260354499326,0.123957469699,0.0306532256956
1991-09-30,0.025530572175,-0.0049850137161,-0.0212715574205,0.173791729271,0.0151936732841
1991-10-31,0.00632395239063,-0.0373975903101,0.0090373766278,0.0814930560386,0.0306888481737
1991-11-30,2.89202546824e-05,0.0427729643742,-0.0682381433139,0.0153888336012,-0.0338128015091
1991-12-31,0.0750626616748,0.108849968043,0.0608491444818,0.220074613659,-0.0700796212299
1992-01-31,-0.0155516462137,-0.0207199164628,0.0375100214755,-0.0694188038039,-0.00996129646379
1992-02-29,-0.00186608957144,-0.0240737554595,0.0446252086574,0.0144583648664,-0.00690347874008
1992-03-31,-0.0182906606584,0.00854024864587,-0.00112183340007,-0.111001385935,-0.0185501313088
1992-04-30,0.019652791903,0.0336902953327,0.0364953883326,0.0375778186601,-0.0318343881642
1992-05-31,0.0125574678085,-0.0297564410642,-0.0202585410052,0.105489996618,0.0563161138849
1992-06-30,0.0250241699053,0.0146569610523,0.0183913734238,0.0898210783776,0.00667131191999
1992-07-31,0.0534608143244,0.015777052704,0.0870216548629,0.188530453551,0.0104709675422
1992-08-31,0.0505338850782,0.0481097755342,0.0603505736763,0.00598274909192,0.077518335913
1992-09-30,0.0335581352101,0.015062781608,0.0323237308348,0.00369537749024,0.0898418713756
1992-10-31,-0.00642242736132,0.00937144330517,-0.0263079391621,0.0334778865805,-0.0483800882493
1992-11-30,0.0161428934125,0.00454501976469,-0.0275779599721,-0.0499716775585,0.115239171923
1992-12-31,0.0205940247143,0.00643852057637,-0.0158104148056,0.0989874611585,0.0227664463226
1993-01-31,0.0243637594366,-0.000608986719252,-0.0226433523166,0.122594490336,0.0419963694506
1993-02-28,0.0543980866662,0.0672862575554,-0.0731114574622,0.21782882071,0.0163740945291
1993-03-31,-0.00502012827199,0.00848909135127,-0.0211566227206,-0.0257495031487,-0.00499084512896
1993-04-30,-0.0109789876186,-0.00804841670907,-0.0432769475546,0.0073896645443,-0.00614893436542
1993-05-31,0.0291507494744,0.0357009581931,0.00544331133607,-0.0212191345875,0.0721541744137
1993-06-30,0.0155921920676,-0.0140069463985,-0.0589856585826,0.155144064777,0.0235933575831
1993-07-31,0.0319723275252,0.0169172952861,0.0249295602199,0.0949166368312,0.0189016494831
1993-08-31,0.0683124530837,-0.00404854730685,0.171330344487,0.166453166642,0.0561354167779
1993-09-30,-0.0218354092088,-0.0341947528642,-0.0932905952386,0.0129141478539,0.0293825545227
1993-10-31,0.0448364163518,0.0377154396088,0.132509645731,0.0888878012809,-0.0403085056221
1993-11-30,0.00845372749512,0.0645920467653,-0.114226192458,-0.0194753303029,0.0138120155405
1993-12-31,0.0618763403157,0.0496943411826,0.179458661067,0.0987813681808,-0.0306403394752
1994-01-31,0.0113237556706,-0.0113355741056,0.111810364802,0.0223987268128,-0.0289170474631
1994-02-28,-0.0476067314838,0.00664809145688,-0.102151857297,-0.25866261447,0.0476056144798
1994-03-31,-0.0645314229045,-0.0154037176678,-0.102074251383,-0.217993469602,-0.0154392015602
1994-04-30,-0.00267154100586,-0.0199330963418,0.0392746886692,-0.0381345095341,0.0299443711833
1994-05-31,0.00451827006266,0.0631948270267,-0.0742980362254,-0.0288790183154,-0.025891540501
1994-06-30,-0.0126539208981,-0.012718994399,-0.102274151824,0.025551107282,0.0228538758146
1994-07-31,-0.0195695692346,-0.0263524284844,0.00699162744513,-0.0621017353272,0.00951872349915
1994-08-31,0.019818197001,0.0392822459902,0.0139304849076,-0.0144392245287,0.0138537343674
1994-09-30,0.0276301886861,0.0384102834299,-0.0434238041661,0.0902578698936,0.00717075949793
1994-10-31,0.0164539197724,0.0422014231194,-0.0309503553577,0.0194301388643,-0.00196806315061
1994-11-30,0.0222028144883,0.0686250894694,-0.000405440938301,-0.0166300650201,-0.0213248109804
1994-12-31,0.0184706444786,0.00879455066415,0.0352539900977,-0.00195810914479,0.0422592842461
1995-01-31,0.00799703747955,0.0218196034295,0.0122845114496,-0.0499134451802,0.0253950356518
1995-02-28,-0.0247475965264,-0.0165488596041,-0.00532301902907,-0.150010824153,0.0486725195282
1995-03-31,0.0418829080494,-0.0194601359806,0.0634913897679,0.00264860542868,0.181057887005
1995-04-30,-0.010414273884,0.0132470374391,-0.0756002605514,-0.00503293801699,-0.0133318530858
1995-05-31,0.0109390625727,-0.00938364398064,0.003660351409,0.133700621132,-0.0452577897474
1995-06-30,0.0102943716668,0.0199566761937,0.0448617558703,-0.0509712853481,0.0160989386392
1995-07-31,-0.0144575467,-0.0107871871415,-0.0039530444309,-0.0207410621436,-0.0244403796494
1995-08-31,-0.0156145691337,-0.0150935363368,-0.00661662230188,0.0691975678071,-0.0940818756354
1995-09-30,0.0450598712264,0.0187513079082,0.0554971164942,0.0782289928718,0.0622081292078
1995-10-31,0.0175960426564,0.00524979238651,-0.0301262126275,0.0534771300375,0.0481793285081
1995-11-30,0.0327935629125,0.0134128649119,0.0126350996806,0.152508702809,-0.0130888102423
1995-12-31,0.0156292940421,0.0130129755541,-0.00630250857266,0.0445504101665,0.0132098528753
1996-01-31,-0.0270373369377,-0.0784861757876,0.050568906409,0.0313820949705,-0.0310272016717
1996-02-29,-0.0228422264653,0.0376091939566,0.014660555835,-0.202988611111,-0.0217501668293
1996-03-31,0.0250101412843,0.0367924533011,0.0285810707783,-0.0454614820462,0.0574936729057
1996-04-30,0.0411666490578,0.0638136807326,0.0522262318657,-0.0119687421143,0.0318573912459
1996-05-31,0.00239541234836,-0.0171543682622,-0.00267185023721,-0.0092646609956,0.0550121482952
1996-06-30,0.0178020284967,0.0293989540057,0.0134931810156,-0.00330586527776,0.0154297245682
1996-07-31,-0.045052582544,0.00971239003941,-0.145714102195,0.0210484636196,-0.134170593109
1996-08-31,0.0426292201134,0.0213981030956,0.035545856144,0.0783060199249,0.0606733106163
1996-09-30,0.0857125983494,0.0818241336594,0.101368215246,0.0649094161649,0.099083800211
1996-10-31,0.0221179125485,-0.0110212132363,0.0263197526565,0.0537391568625,0.0588937471089
1996-11-30,0.0761269476331,0.0327213270662,0.176793014396,0.055818477306,0.104362363968
1996-12-31,0.0302506397991,0.0330654030757,0.0239005388506,-0.000988314419085,0.0554161508056
1997-01-31,0.0391017473924,-0.020181608289,0.161969109146,0.046682037852,0.0592010287237
1997-02-28,-0.0160552996317,-0.0730242487525,0.0463091805757,0.0213657075787,0.0199250657789
1997-03-31,0.020536853183,0.0306410167873,0.0151405147499,-0.0230142618619,0.04066837567
1997-04-30,0.029541879532,0.024099156657,0.0644152664441,0.0214487724936,0.0210165409633
1997-05-31,0.00875655612341,0.0411189745756,0.0676499193447,0.0557026661727,-0.139260061571
1997-06-30,0.0341009865349,-0.0171752271454,0.11870794469,0.103764136287,0.0151455704851
