date,SP1 Index,TU1 Comdty,FV1 Comdty,TY1 Comdty,US1 Comdty,CL1 Comdty,HO1 Comdty,NG1 Comdty,HU1 Comdty,GC1 Comdty,SI1 Comdty,PL1 Comdty,C 1 Comdty,S 1 Comdty,SM1 Comdty,BO1 Comdty,W 1 Comdty,CT1 Comdty,KC1 Comdty,CC1 Comdty,SB1 Comdty,LC1 Comdty,LH1 Comdty,AUDUSD Curncy,USDCAD Curncy,EURUSD Curncy,USDJPY Curncy,NZDUSD Curncy,USDCHF Curncy,GBPUSD Curncy
1986-01-31,,,,,,,-0.0836028349274066,,,0.04204677104940027,0.06147726024722693,0.234377580796124,-0.0034233160180533084,0.07160940325497288,0.1147867493876056,-0.04675391428119564,-0.08195398864654915,,,,,0.07253682854422226,,,,,,,,
1986-02-28,,,,,,,-0.07969070538109516,,,-0.029432633980744617,-0.0025313892264074525,0.1903367496339678,-0.07724062012659388,-0.009521280127481576,0.09137674572349393,-0.0876022541356117,-0.13180771002918137,,,,,0.05019654728909661,,,,,,,,
1986-03-31,,,,,,,-0.12304880606405609,,,-0.01163522933630133,-0.018531745019513813,0.16746915437857357,-0.05020823279174933,0.08918263306048853,0.09370365102907414,0.012404580152671756,-0.13776504996344138,,,,,0.03611729557953226,,,,,,,,
1986-04-30,,,,,,,-0.015550947867298577,,,-0.017866876627702744,0.0005415064710023285,0.1312785388127854,-0.00963916269025809,0.07142376666532134,0.0012026090501426824,-0.018167046947382977,0.07920765101768344,,,,,-0.0030050722557182505,,,,,,,,
1986-05-31,,,,,,,-0.05363984674329502,,,-0.07563587684069611,0.03266592214422463,0.16113858400675432,0.04304578078182705,0.04861797769901273,-0.06656247323798921,-0.02054224114000185,0.01604982632650617,,,,,-0.060086837950337306,,,,,,,,
1986-06-30,,,,,,,-0.05762802752703548,,,-0.06837310051755213,-0.0151059276032135,0.21292937913377427,-0.0698980948161276,-0.0997432169043715,-0.03722148923122665,-0.06948938648718612,0.026272362941037797,,,,,0.0360150633344745,,,,,,,,
1986-07-31,,,,,,,0.01154898336414048,,,0.07204654411531257,0.013405766585249446,0.2517467598271908,-0.07782015237868736,0.05995412206311692,0.02609865648311205,-0.052780958217090515,0.1181726230613621,,,,,0.12874990648612253,,,,,,,,
1986-08-31,,,,,,,0.0664856477889837,,,0.09446622711906483,0.09624824942876097,0.2064073402983924,-0.10516392407726947,-0.05336955421320825,0.020074435466764372,-0.06547308553063319,0.03992756903576279,,,,,0.14332993102595032,,,,,,,,
1986-09-30,,,,,,,0.03598996005613732,,,0.10676263417634396,0.09863996210839705,0.1731123388581952,0.015712924643463244,-0.02615307621523013,0.06085723848713355,-0.0037230081906180195,0.14820034975073734,,,,,0.011158798283261802,,,,,,,,
1986-10-31,,,,,,,0.06996740611013816,,,0.022482933409639045,0.10058001288917531,0.29365079365079366,0.024477841809264718,0.024691647516765933,0.053406640031114096,0.08878744048695233,0.22038817340830763,,,,,0.0721370604147881,,,,,,,,
1986-11-30,,,,,,,0.08197048264858396,,,0.009864898731004944,0.04985047057788724,0.12178642056690837,0.0016829921829442029,0.042881961436820985,0.018254490085476,0.030012354762136123,0.20899526198439242,,,,,0.07174672894305423,,,,,,,,
1986-12-31,,,,,,,0.0756160079378204,,,0.00751719433865742,0.04392019772438823,0.12096910826226916,-0.07086822243141919,0.007088039570638178,-0.046409915891987605,0.013887800366788407,0.11488791949207446,,,,,-0.008135268782899984,,,,,,,,
1987-01-31,,,,,,,0.08307701867213471,,,0.03406417687848829,0.06682205870056025,0.18132201334141904,-0.058136601724214684,0.04606463382851186,-0.029208361303214324,0.051918998904760795,0.16542452661983384,,,,,0.09509626350036895,,,,,,,,
1987-02-28,,,,,,,-0.02389930027951301,,,-0.035167409438921264,0.03703123951787831,0.22029747326921928,-0.03991240813838947,-0.07128225573626253,-0.027953354260471856,-0.005964419596274492,0.19449697063250107,,,,,0.10096977233803493,,,,,,,,
1987-03-31,,,,,,,-0.011860844200411806,,,0.05348398286064068,0.12557691735069626,0.23974508117950533,0.019403026593969065,0.02508571152638949,0.013582879254521046,-0.025077050493530473,0.15914443333225797,,,,,0.1264422862743351,,,,,,,,
1987-04-30,,,,,,,0.049484872500116545,,,0.06698130952991672,0.08029793721643615,0.17752170160921873,0.07476784331323601,0.08308079107459537,0.07431974293210696,0.0127986788460546,0.09273291718129319,,,,,0.11851014550572382,,,,,,,,
1987-05-31,,,,,,,0.04810053445038278,,,0.1030841790095652,0.05181070967879492,0.15966853901340303,0.09709031324074516,0.07373740724767497,0.08580133310650934,0.02064983723358516,0.05905993908756947,,,,,0.07220125255677624,,,,,,,,
1987-06-30,,,,,,,0.06484738225186983,,,0.026231627653783344,0.10633475757012818,0.11070153208155742,0.09196951193835011,0.0942595462219858,0.1003310876476305,0.027792817181014257,0.0074988328664799256,,,,,0.08406101537597245,,,,,,,,
1987-07-31,,,,,,,-0.016216875304828484,,,0.11352417902911847,0.135256068964736,0.2320141309017998,-0.016086385425018338,0.08999388628489913,0.02427410891281533,0.04580152671755725,-0.007653061224489796,,,,,0.0590978542483226,,,,,,,,
1987-08-31,,,,,,,-0.045624729253047835,,,0.0035211504216644826,0.011279747450218553,0.16606822262118492,0.00023732508262428804,0.006579225426522591,-0.009679629946890526,0.04166727906053881,0.08208584075197692,,,,,0.10888742902726292,,,,,,,,
1987-09-30,,,,,,,-0.0022912114590920127,,,0.04979177475216288,0.04815903681926362,0.11153890138375329,0.10073325547955544,0.08605466505634182,0.09642323334144391,0.10163136036332128,0.09065411443344228,,,,,0.10194743850942989,,,,,,,,
1987-10-31,,,,,,,-0.007170036347114947,,,0.04367345715099459,0.04510797442393533,0.09399089392778254,0.06578492456397167,0.12077980895915678,0.05713390759592796,0.08920915411355736,0.10555250137438153,,,,,-0.05549078726968174,,,,,,,,
1987-11-30,,,,,,,0.014094995667244368,,,0.10391837378289949,0.03823293849850356,0.10287473313142347,0.09461990042357138,0.188868495620814,0.08018039980497318,0.10925644916540213,0.07398743483491511,,,,,-0.021953577055996185,,,,,,,,
1987-12-31,,,,,,,-0.08236240087029183,,,0.034435665463072765,0.03697816335053143,0.09924566539067778,0.04380213840911761,0.1943134850342917,0.07343406190406337,0.13485681302391478,0.06154984528454191,,,,,0.02807643028243552,,,,,,,,
1988-01-31,,,,,,,-0.10130944176430048,,,-0.06316351099923388,0.016849125456146974,-0.0453439284827415,0.11668890219995644,0.1304167923796388,0.0007542325282837198,0.07592084525129882,0.16517593992670238,,,,,0.08447552109166133,,,,,,,,
1988-02-29,,,,,,,-0.15188355456312286,,,-0.16268178456987922,0.04373116250246472,-0.04798045433279617,0.1207886664565957,0.1734896903449004,0.09177742219900076,0.0830672748004561,0.15318722025003859,,,,,0.09500433719738191,,,,,,,,
