date,XP1 Index,CF1 Index,GX1 Index,ST1 Index,TP1 Index,EO1 Index,IB1 Index,Z 1 Index,SP1 Index,NDDLAS Index,NDDLFR Index,NDDLGR Index,NDDLIT Index,NDDLJN Index,NDDLNE Index,NDDLSP Index,NDDLUK Index,NDDLUS Index,YM1 Comdty,XM1 Comdty,DU1 Comdty,OE1 Comdty,RX1 Comdty,UB1 Comdty,CN1 Comdty,JB1 Comdty,G 1 Comdty,TU1 Comdty,FV1 Comdty,TY1 Comdty,US1 Comdty,LAUTRTRU Index,LEATTREU Index ,LCANTRUU Index,LJPATRUU Index,LGTRTRUU Index ,LUATTRUU Index,LMAHDS03 Comdty,LMCADS03 Comdty,LMNIDS03 Comdty,LMZSDS03 Comdty,CO1 Comdty,QS1 Comdty,CT1 Comdty,KC1 Comdty,CC1 Comdty,SB1 Comdty,LC1 Comdty,LH1 Comdty,C 1 Comdty,S 1 Comdty,SM1 Comdty,BO1 Comdty,W 1 Comdty,CL1 Comdty,XB1 Comdty,HU1 Comdty,HO1 Comdty,NG1 Comdty,GC1 Comdty,SI1 Comdty,PL1 Comdty,CO2 Comdty,QS2 Comdty,CT2 Comdty,KC2 Comdty,CC2 Comdty,SB2 Comdty,LC2 Comdty,LH2 Comdty,C 2 Comdty,S 2 Comdty,SM2 Comdty,BO2 Comdty,W 2 Comdty,CL2 Comdty,XB2 Comdty,HU2 Comdty,HO2 Comdty,NG2 Comdty,GC2 Comdty,SI2 Comdty,PL2 Comdty,AUDUSD Curncy,AU0001M Index,USDCAD Curncy,CD0001M Index,EURUSD Curncy,EU0001M Index,DEMUSD Curncy,DM0001M Index,USDJPY Curncy,JY0001M Index,NZDUSD Curncy,NZ0001M Index,USDNOK Curncy,NIBOR1M Index,USDSEK Curncy,SK0001M Index,USDCHF Curncy,SF0001M Index,GBPUSD Curncy,BP0001M Index,US0001M Index,MXWO Index,SPGSCI Index,LBUSTRUU Index,VIX Index,.TEDSP Index
1985-02-28,,,,,,,,,0.007481296758104827,0.023384765885544168,0.02643505564627091,0.017257646954929262,0.05873238425287308,0.049653487581380995,0.04074160469094479,-0.02409506212069512,-0.01314238661866085,,,,,,,,,,-0.004512288786482355,,,-0.04109589041095896,-0.05892399658411618,,,,,,-0.01820175438596494,,,,,,,-0.010554089709762682,-0.06964345218260592,-0.0576838397181858,-0.05092592592592604,-0.013651877133105672,,-0.03027522935779814,-0.06735966735966736,-0.12279463655610434,0.034331628926223656,-0.01282965074839626,0.0121166224914806,,,,,-0.05064123643538321,-0.11971830985915488,,,,-0.024026763990267597,-0.04944308611790271,-0.06119791666666663,-0.10822510822510822,-0.009919177075679575,,-0.02603231597845601,-0.06563391765185489,-0.11720867208672081,0.022122234720659995,-0.021106259097525504,0.00967866821525365,,,,,-0.04684450227716319,-0.1200987959246681,,-0.12417177914110422,,0.04242013261000599,,-0.055100310822266185,,-0.05439595192915869,,0.018249607535321788,,-0.05425531914893611,,0.048034934497816595,,0.0486725663716816,,0.06803738317757024,,-0.04555506413091559,,0.0428736964078793,-0.0005074596569571987,-0.028640726597172095,-0.020453945632092907,,1.17420814479638
1985-03-31,,,,,,,,,0.008525852585258509,0.0522748306531855,0.038142390441219476,0.018034030265370316,-0.01639847509173742,0.025516542696419675,-0.0041618781628846024,0.01121540409623556,0.019992474191384613,,,,,,,,,,0.030764779631594186,,,0.0087301587301587,0.012250453720508148,,,,,,0.019283746556473913,,,,,,,0.06039215686274502,0.034598853868194945,0.1537383177570093,-0.060975609756097504,0.0007689350249904248,,0.06433301797540203,0.07980383415069103,0.11102172164119062,0.0776836158192089,0.029602888086642576,0.058361391694724984,,,,,0.14166955316938012,0.19555555555555548,,,,0.03536927391710809,0.029151186053157918,0.040684234858992196,-0.029126213592232997,-0.0025974025974025983,,0.037788018433179804,0.07242582897033167,0.1059094397544127,0.05099046221570047,0.0007434944237918462,0.06633435582822078,,,,,0.14027303754266218,0.19666666666666655,,-0.01218828803586447,,-0.011564871702204549,,0.07790071770334928,,0.08494983277591994,,-0.03256889574099053,,0.04004499437570308,,-0.07395833333333324,,-0.05907172995780596,,-0.08995449772488628,,0.1455050973123262,,-0.013333333333333197,0.03218927701056051,0.05169207883971749,0.020387085185683995,,-0.2986472424557751
1985-04-30,,,,,,,,,-0.01363512407962908,0.07123627054257176,0.028419474732540806,0.04235428232896932,0.031638081827881415,-0.03350352648175925,0.04049524591285314,-0.01987239371111682,0.014676397465714919,,,,,,,,,,-0.003836077844311392,,,0.020456333595594067,0.014791573285522164,,,,,,0.020051132213294354,,,,,,,-0.017751479289940697,0.009485563941009412,-0.045362494937221554,-0.1558441558441559,-0.037264694583173275,,0.007111111111111068,-0.028901734104046284,-0.12744388124547423,0.06585845347313235,-0.02103786816269282,-0.02332979851537642,,,,,-0.03974514563106801,-0.083271375464684,,,,-0.021519939804364285,0.01131630102749237,-0.07019102621057305,-0.11250000000000004,-0.04947916666666674,,-0.006216696269982225,-0.03254678600488203,-0.12144344205412905,0.09773123909249559,-0.02823179791976227,-0.025170801869831005,,,,,-0.04010775217000906,-0.08517812637443178,,-0.07488299531981268,,-0.000365630712979903,,-0.004855042308225754,,-0.004932182490752335,,0.0019920318725099584,,-0.01838632922344796,,0.006467941507311448,,0.010369955156950494,,0.0,,0.004045307443365731,,-0.04279279279279291,-0.005213969503197302,-0.053243079409981964,0.020683888571051412,,-0.15133531157270042
1985-05-31,,,,,,,,,0.0486591097594693,0.0014184834561656867,0.08001467563844034,0.10107729668285637,0.09040988912027914,0.03601520818455328,-0.030290049009524145,0.01805269391132236,0.026430603857097834,,,,,,,,,,0.00028176951253877647,,,0.07016191210485734,0.09319787985865724,,,,,,0.04737011708260219,,,,,,,-0.06219879518072291,-0.011659807956104329,-0.11964361476453123,-0.03384615384615386,-0.04070231444533112,,-0.030891438658428916,-0.03486394557823125,-0.004979253112033177,-0.07562250230556411,-0.09742120343839544,0.007600434310532034,,,,,-0.0009478672985782088,0.0040551500405514584,,,,-0.06336511842509995,-0.002334042699251526,-0.020544672718585733,-0.028169014084506894,-0.015655577299412915,,-0.07596067917783733,-0.05508830950378474,-0.02922590837282768,-0.08203497615262312,-0.02905198776758411,0.011803762449280608,,,,,-0.003741814780168329,0.004487179487179471,,0.008738310593285448,,0.00548646671543529,,0.014636186228045744,,0.012701363073110539,,-0.0011928429423460063,,-0.01189951520493604,,-0.014249790444258115,,-0.015811373092926462,,-0.009615384615384581,,0.036261079774375427,,-0.11029411764705888,0.04890229430379733,0.001067121972041507,0.052257146552839195,,-0.4353146853146852
1985-06-30,,,,,,,,,0.019773266543632984,-0.01047344110854509,-0.0457105353771351,0.06607931238097464,0.08912711752313918,0.030513055511562692,0.009038660887288996,-0.02841753417235382,-0.05904638698946596,,,,,,,,,,0.0360563380281691,,,-0.010086455331412059,-0.0036363636363636598,,,,,,0.01042663749487227,,,,,,,-0.021198008671912683,-0.01956974323386529,-0.027469879518072338,-0.25159235668789814,-0.02911813643926786,,-0.02003642987249543,-0.008370044052863457,-0.008340283569641338,-0.0009976720984370413,0.01031746031746028,-0.03484195402298851,,,,,0.004743833017077703,-0.013247172859450873,,,,0.01165845648604269,-0.012179178421523496,-0.009268292682926838,-0.14492753623188404,-0.058051689860834976,,-0.011605415860735047,-0.00578549176680021,-0.008950366151342593,-0.0038101835815725904,0.011811023622047223,-0.03900838497994896,,,,,0.005633802816901401,-0.012444160816847405,,0.011398176291793183,,-0.011131320480174622,,0.010028850116774235,,0.00978892627714889,,-0.011146496815286566,,0.04348795718108822,,0.006179138321995348,,-0.014374295377677537,,-0.013203883495145674,,0.018273716951788588,,0.024793388429751984,0.0154150756611513,-0.04034751092634048,0.01057160417947145,,1.6996904024767803
1985-07-31,,,,,,,,,-0.010599793174767336,0.08696548531774262,-0.0585335022024831,-0.04817310478649839,0.06434834123222744,-0.04378387843256315,0.0007997555218892671,0.025771504957478042,0.03225964843366391,,,,,,,,,,0.01903208265361611,,,-0.014919941775836998,-0.024330900243308973,,,,,,-0.003383293297695933,,,,,,,-0.015586546349466768,-0.055138731596828916,0.034192269573835476,0.9148936170212765,-0.09040274207369325,,-0.1412639405204461,-0.07019102621057305,0.008410428931875602,-0.15446071904127834,-0.07227022780832681,0.009304056568663954,,,,,0.02958766131570667,0.036345776031434296,,,,-0.0267813666612563,-0.05140707718027304,0.04726735598227472,0.7186440677966102,-0.055719712959054535,,-0.10861056751467713,-0.06580125335720677,0.006568144499178974,-0.12969401947148818,-0.05758754863813231,0.003793626707132125,,,,,0.030189853719265525,0.043618739903069415,,0.09256198347107447,,-0.003825779870512025,,0.06977693144722519,,0.08209633444410791,,-0.04810789049919495,,-0.03462278264586449,,-0.07544086990816379,,-0.05233056905919353,,-0.09720582447855175,,0.07751050019091243,,0.040000000000000036,0.018152274837511584,-0.03593446264926403,-0.0034870048250414953,,-0.052752293577981724
1985-08-31,,,,,,,,,-0.018029788345962805,-0.0007550924004063875,0.042968629428045135,0.09262856085830551,0.06155447451325258,0.026316274829595088,0.01156878031878028,-0.004681022869455043,0.07379219584899066,,,,,,,,,,-0.0027570259694059684,,,0.02364240857037303,0.02576891105569401,,,,,,0.016498625114573784,,,,,,,-0.026666666666666727,0.017679226908382528,0.026832774317201658,0.05555555555555558,0.05699481865284972,,-0.0043290043290042934,-0.015289058767319674,0.04587155963302747,-0.11574803149606294,-0.07027942421676547,0.03539823008849541,,,,,0.025374503210027433,-0.01421800947867291,,,,-0.0248498999332889,0.017990894404464663,0.04466384579219551,0.011834319526627057,0.04112650871703183,,-0.03951701427003296,-0.019166267369429835,0.029363784665579207,-0.1158609668397923,-0.04954582989265066,0.04761904761904745,,,,,0.026586102719033278,-0.01393188854489158,,-0.03259524136982528,,0.00878877400295397,,-0.002797202797202747,,-0.004199328107502787,,0.010784521040389183,,0.19725481514279375,,0.006093845216331495,,0.0048280024140010536,,0.006974716652136115,,-0.014174344436569841,,0.0,0.005836487164287973,0.01687982486461559,0.018798063229849005,,0.009685230024213176
1985-09-30,,,,,,,,,-0.027142096860031883,0.065384546512669,-0.056580274590173896,0.06560291192280032,0.07352887201723979,0.00989923624927802,-0.029280542579565028,0.019085257120825094,-0.0402669698625282,,,,,,,,,,0.007223758137875791,,,-0.010465535907614565,-0.01985413290113447,,,,,,0.007714657849914763,,,,,,,0.03167808219178081,0.01582627898417366,0.06066262249183385,0.08000000000000007,0.044117647058823595,,-0.022826086956521774,-0.004852013585638026,0.03349282296650702,-0.05788067675868214,0.08196721311475419,0.035612535612535634,,,,,-0.0375670840787119,-0.023237179487179516,,,,0.008722421754745913,0.005770756690471224,0.05130513051305141,0.10136452241715399,0.061829111206526344,,0.07657142857142851,0.02540302882266743,0.06339144215530901,-0.03705377315860825,0.05734144222415294,0.03282828282828287,,,,,-0.03737492642731011,-0.023390894819466213,,0.006113164628945178,,0.0037338018888646296,,0.0433507586382762,,0.04947989879111603,,-0.09414225941422594,,0.008690828402367012,,-0.03391883706844345,,-0.033033033033032844,,-0.04978354978354993,,0.012580877066858509,,-0.007444168734491385,0.005031959744322023,0.06821143278001252,0.006030592276049518,,0.09232613908872911
1985-10-31,,,,,,,,,0.0352844638949672,0.038990594388904176,0.06039447370828799,0.12668639366617662,0.010171213390347544,0.005726001001573611,0.032461818382312435,0.07349255143059819,0.07902024739984004,,,,,,,,,,0.0016823091907207655,,,0.02516411378555805,0.038859032658123294,,,,,,0.019486975541857188,,,,,,,0.0252282157676349,0.17065217391304355,-0.07479102507699076,0.19688109161793377,0.13102859581732806,,0.03559510567296997,0.0034129692832765013,0.12808641975308643,-0.05482041587901698,0.09006734006733996,0.04470426409903716,,,,,0.012081784386617,0.004922067268252617,,,,0.05374703289250604,0.15491644552822192,-0.06207191780821919,0.1115044247787611,0.013748483623129637,,0.02866242038216571,0.005240590757503494,0.09612518628912081,-0.05537306428906619,0.07806080525883319,0.026196297589940576,,,,,0.011311525527361699,0.00417939238064613,,-0.010597710894446721,,-0.0030634573304156865,,0.02480752780153983,,0.02276989016876496,,-0.022863741339491872,,0.060494958753437356,,-0.012852664576802564,,-0.021614906832298164,,-0.02004555808656039,,0.022719204827830852,,0.007500000000000062,0.05137573297248532,0.06613630336780685,0.020960698689956425,,-0.2195389681668497
1985-11-30,,,,,,,,,0.06948480845442528,-0.03843652634746231,0.12372115038531906,-0.02455353864141785,0.08373423199098773,-0.02844804598195061,0.038962370552650505,0.053563299411134135,0.04768151485769678,,,,,,,,,0.013591217982226844,-0.002828604260585066,,,0.027036641764496716,0.03979307600477511,,,,,,0.022105194720759336,,,,,,,-0.021693378662781315,0.022903125967192794,0.014265335235378096,-0.0016286644951140072,0.039622641509434064,,0.04833512352309355,-0.030126336248785246,-0.0034199726402188713,-0.044499999999999984,0.03397683397683404,-0.020737327188940058,,,,,-0.01163146617692079,-0.007836734693877578,,,,-0.0308930008045053,0.04676147301745015,0.010497489730716625,0.0079617834394905,0.03829278021539695,,0.006191950464396356,-0.041706161137440745,-0.015635622025832685,-0.044212617983109825,0.020579268292682862,-0.01497617426820963,,,,,-0.010580411124546552,-0.005922842964622976,,-0.021708083404741507,,0.012584138132865075,,0.036608633436680194,,0.04243059193294929,,-0.04467029071141582,,-0.020224719101123667,,-0.03537630993966334,,-0.030535804977145697,,-0.03254300325430026,,0.033668864977438595,,0.015818858560793903,0.053541550474065724,0.002686299870659603,0.02402986235321558,,0.1413502109704643
