Family,logL,AIC,BIC,lambda_L,lambda_U,param,N
Gaussian,2.968827231454193,-3.9376544629083856,-0.2781722471487642,0.0,0.0,rho=0.153,287
Student-t,13.440975060520776,-22.88195012104155,-15.562985689522309,0.17113567271283991,0.17113567271283991,"rho=0.147, df=2.808",287
Clayton,2.2137562001246684,-2.427512400249337,1.2319698155102845,0.010785186955781388,0.0,theta=0.153,287
Gumbel,6.421650266754061,-10.843300533508122,-7.183818317748501,0.0,0.1576952191955152,theta=1.134,287
Frank,3.09912811799812,-4.19825623599624,-0.5387740202366187,0.0,0.0,theta=0.947,287
