,Commodity,Equity,Bond,Currency
Commodity,1.000,0.088,0.095,0.108
Equity,0.088,1.000,0.207,0.058
Bond,0.095,0.207,1.000,-0.006
Currency,0.108,0.058,-0.006,1.000
