date,best_family,lambda_L,lambda_U,lambda_L_t,lambda_L_cl,AIC_best,AIC_gauss,regime
1991-01-31,Student-t,0.18449406580213062,0.18449406580213062,0.18449406580213062,0.009072958211025231,-2.307740043033169,1.4049563082021468,Tail-dependent
1991-02-28,Student-t,0.15924964261358035,0.15924964261358035,0.15924964261358035,0.0023753834892005525,-1.2815720405796744,2.0120032919990187,Tail-dependent
1991-03-31,Student-t,0.17807026127505995,0.17807026127505995,0.17807026127505995,0.0030734031207234583,-2.470409730928135,1.9382168640596127,Tail-dependent
1991-04-30,Student-t,0.1753475629049635,0.1753475629049635,0.1753475629049635,0.002483074485844789,-2.4539133412772722,1.9759760632945431,Tail-dependent
1991-05-31,Student-t,0.17159565204340738,0.17159565204340738,0.17159565204340738,0.002623007903657526,-2.8834533361953527,2.0365490096471994,Tail-dependent
1991-06-30,Student-t,0.1728944608777098,0.1728944608777098,0.1728944608777098,0.002924328038695414,-2.477762786278996,2.0128462287742055,Tail-dependent
1991-07-31,Student-t,0.169658107681736,0.169658107681736,0.169658107681736,0.002201402484847474,-2.4287105448146793,2.07307063267681,Tail-dependent
1991-08-31,Student-t,0.1515837292309149,0.1515837292309149,0.1515837292309149,0.0004239679427374757,-2.9287475044310805,2.283869249630056,Tail-dependent
1991-09-30,Student-t,0.13197999390429913,0.13197999390429913,0.13197999390429913,3.664403943808157e-05,-3.5910021308274445,2.3666348545332316,Tail-dependent
1991-10-31,Student-t,0.13580156609099486,0.13580156609099486,0.13580156609099486,9.743929346482257e-05,-3.595046500737003,2.2994758459542375,Tail-dependent
1991-11-30,Student-t,0.14978123170189697,0.14978123170189697,0.14978123170189697,0.0004868904011697662,-3.4476368456702335,2.2976299704044854,Tail-dependent
1991-12-31,Student-t,0.15830036655483193,0.15830036655483193,0.15830036655483193,0.0016182936554763213,-3.067593768714886,2.2055068223951366,Tail-dependent
1992-01-31,Student-t,0.15218734725891825,0.15218734725891825,0.15218734725891825,0.0008966290075879246,-3.3928026109426774,2.1707372806802727,Tail-dependent
1992-02-29,Student-t,0.1491831816224509,0.1491831816224509,0.1491831816224509,0.0005312763457746695,-3.404239670998222,2.2025011061660495,Tail-dependent
1992-03-31,Student-t,0.15645176565426192,0.15645176565426192,0.15645176565426192,0.005346050589459596,-4.182064071187337,2.2150411546810145,Tail-dependent
1992-04-30,Student-t,0.14037866964511314,0.14037866964511314,0.14037866964511314,0.0019345511065177424,-4.9968945353395124,2.1631551435102403,Tail-dependent
1992-05-31,Student-t,0.14858652121254787,0.14858652121254787,0.14858652121254787,0.003400921455154839,-4.427506209955213,2.1383386798471746,Tail-dependent
