lag,beta,tstat,nobs
1,0.014128779801195486,2.81173882355234,13823
2,0.006203611774279783,1.2399886842359664,13823
3,0.009753953577545684,2.017060377484647,13824
4,-0.0018333046925861313,-0.42597892775316065,13784
5,-0.0046352548562277685,-1.0199337745145705,13728
6,0.0042894224012326905,0.8859103749137959,13672
7,0.0005992148872919433,0.1310345985369557,13616
8,0.003333135290988007,0.7018138620238691,13560
9,0.003407033948363166,0.8206571709244783,13504
10,0.009035572740588771,1.9488861710280878,13448
11,0.015573738838679463,3.0840935640093043,13392
12,0.005441619952842546,1.0702801062394773,13336
13,-0.011130601115715393,-2.2267066479263917,13280
14,-0.004572211471094361,-1.0135866348378355,13224
15,-0.012771812061570421,-2.8630373423777518,13168
16,-0.00855884431021403,-1.9059177808653416,13112
17,-0.004088493904441038,-0.9706665049597013,13056
18,-0.0056740201189533716,-1.3081352560246222,13000
19,-0.0036125471052891123,-0.7829020825103157,12944
20,-0.0010661166697574901,-0.22596975756010906,12888
21,0.001918039046051982,0.426496963662865,12832
22,4.054738400751214e-06,0.0008458230776231756,12776
23,0.003821227886697768,0.8641939773104563,12720
24,-0.002189023620508986,-0.5143751284160225,12664
25,5.129873274159805e-05,0.011879569680757374,12608
26,0.0013188432616553832,0.30116048407301865,12552
27,-0.003678964801272625,-0.8454408634468182,12496
28,-0.006325124616233133,-1.4004457600583573,12440
29,-0.007589536233955638,-1.7299474001494195,12384
30,-0.0033429355050887347,-0.7171057184854621,12328
31,-0.0007936191476467062,-0.16202784915910695,12272
32,-0.009965944670999113,-2.1960140909620702,12216
33,0.003907726032731813,0.8171999914360676,12161
34,-0.002387936438943524,-0.5088019315986066,12105
35,0.0052132710616966844,1.251041857788435,12049
36,0.004049365823302283,0.912350362198016,11993
37,-0.011694109908157349,-2.4197364576053846,11936
38,-0.008140650305078469,-1.791870638265365,11879
39,-0.001853762914392811,-0.3941892720934829,11822
40,-0.0053719516069429965,-1.1634091666778443,11765
41,-0.002112113078007403,-0.4454147770291328,11708
42,0.002354187909799924,0.505016377781641,11651
43,0.0012536567952198489,0.2476899094016833,11594
44,-0.004337637056699397,-0.9398327453587495,11537
45,-0.0026180574799256526,-0.5079117313250081,11480
46,0.0017891378271870464,0.3744546540566126,11423
47,0.001656434917206589,0.3612161099019619,11367
48,0.0006860429595042854,0.14730956771895,11310
49,0.0008466278671961884,0.16720849541717023,11254
50,0.002341442199463952,0.5153895584908642,11198
51,-0.0021967564667832655,-0.4446258808944499,11142
52,-0.003749107985352381,-0.8089846154425263,11087
53,-0.00030899009536578605,-0.06391986240586782,11032
54,-0.003849822062192585,-0.8633277644946025,10977
55,-0.009721853848266737,-1.985949471012784,10922
56,-0.006511967863115379,-1.4099509102297885,10867
57,-0.0025849761944009494,-0.5416491708194089,10812
58,-0.012368368735408032,-2.4081042065661245,10757
59,0.003184683040036635,0.6624039138885777,10702
60,0.011365971923179195,2.401912294616829,10647
