regime,lambda_L_count,lambda_L_mean,lambda_L_std,lambda_L_min,lambda_L_25%,lambda_L_50%,lambda_L_75%,lambda_L_max,lambda_U_count,lambda_U_mean,lambda_U_std,lambda_U_min,lambda_U_25%,lambda_U_50%,lambda_U_75%,lambda_U_max,AIC_best_count,AIC_best_mean,AIC_best_std,AIC_best_min,AIC_best_25%,AIC_best_50%,AIC_best_75%,AIC_best_max,AIC_gauss_count,AIC_gauss_mean,AIC_gauss_std,AIC_gauss_min,AIC_gauss_25%,AIC_gauss_50%,AIC_gauss_75%,AIC_gauss_max
Gaussian,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,-1.6041,2.3683,-2.9997,-2.9713,-2.943,-0.9063,1.1304,3.0,-1.6041,2.3683,-2.9997,-2.9713,-2.943,-0.9063,1.1304
Tail-dependent,225.0,0.1064,0.119,0.0,0.0,0.0882,0.1671,0.4341,225.0,0.1506,0.1301,0.0,0.0,0.1492,0.2267,0.4877,225.0,-5.1041,5.3593,-23.2266,-8.0402,-2.435,-1.2187,1.0898,225.0,-2.5631,5.4375,-20.5875,-6.0028,0.0081,1.7,2.6065
