lag,beta,tstat,nobs
1,0.040231997466448274,3.659355955461701,2004
2,0.014372838157613943,1.2650682965944395,2004
3,0.019880770710568235,1.7749802542654438,2004
4,-0.007630282470248438,-0.71170753033846,1996
5,-0.00401232691502328,-0.3519890759432787,1986
6,-0.0005087104515003416,-0.04623435999901177,1976
7,-0.004952994008503128,-0.45283039875691206,1966
8,0.008073463089501751,0.6902089226908451,1956
9,0.014617777095932597,1.3472484484106004,1946
10,0.013053813303407841,1.2174029241203512,1936
11,0.022720883562990467,2.007811261585502,1926
12,-0.0006170427795824951,-0.05377468234510906,1916
13,-0.01756906446101223,-1.5947555815308487,1906
14,-0.006127653852476957,-0.5113506267836485,1896
15,-0.009733919583163818,-0.831456742082795,1886
16,-0.020768696853649175,-1.73178665894124,1876
17,0.013068372534206797,1.0982434583681362,1866
18,0.0005571758989380967,0.051161912925187014,1856
19,-0.011004984112603998,-0.9785402949815301,1846
20,0.011843451193621277,1.0452222403765068,1836
21,0.01585123460904879,1.4863430313796913,1826
22,0.00122727829494436,0.10631577690211262,1816
23,0.001449069569823633,0.1290057252416579,1806
24,-0.008564173672459903,-0.7718927025967588,1796
25,0.010658633158327373,0.9476653275165601,1786
26,0.00676724561375453,0.6248083555614717,1776
27,-0.020540830820824113,-1.918784812496215,1766
28,-0.013768002463879372,-1.1327380027691105,1756
29,-0.0057135570075436525,-0.5016693940871586,1746
30,-0.011955828463247867,-1.0149291994149603,1736
31,0.017088649743875212,1.4099267300524938,1726
32,0.0030452180066411097,0.26404863267897877,1716
33,-0.0010833582625695399,-0.08934837182729173,1706
34,-0.005110520358264923,-0.44442642434164864,1696
35,-0.0009724997310499362,-0.08598447062304543,1686
36,-0.025328047975582073,-2.1265572405301087,1676
37,-0.02663936770600372,-2.3680619763002357,1666
38,-5.3902962982394984e-05,-0.004734315076198324,1656
39,0.008537535874381188,0.7028334636698297,1646
40,0.012591939081764925,1.1207993525791984,1636
41,-0.004540381509227777,-0.38331257908419575,1626
42,0.009641919773387093,0.855798856397938,1616
43,0.01722577550795329,1.4080517358276856,1606
44,-0.01159513448826281,-0.9200594103897242,1596
45,-1.8600089806948707e-05,-0.0014754816854370258,1586
46,-0.01103023624936339,-0.8819503568960096,1576
47,-0.02586246273522614,-2.1417427047637165,1566
48,-3.498029981608211e-05,-0.0028883800159107053,1556
49,-0.015020128005676123,-1.2064248593328726,1547
50,0.020562409684615143,1.7287396666720607,1538
51,0.003757895088631553,0.32447232912422364,1529
52,-0.0009270083805787838,-0.07803426689739844,1520
53,0.01123311941633571,0.9178546807534319,1511
54,0.014008812112493082,1.1554836613606607,1502
55,-0.0007218948702063443,-0.05821484288205978,1493
56,-0.00010506577214826449,-0.008186480884780321,1484
57,0.01160315326363728,1.0137950458021994,1475
58,-0.025816377227957665,-2.196279798154214,1466
59,-0.010135310203301202,-0.7775019043576629,1457
60,0.010435946384743749,0.8888927848156181,1448
