,Alpha (%),t(Alpha),MKT,t(MKT),BOND,t(BOND),GSCI,t(GSCI),R2,N
Monthly,0.5525282851211104,2.077266248514068,0.0015980102949225078,0.02236666986163275,0.5877223123326325,2.353581940891752,0.05496024846486484,0.992863652958366,0.0455733122366998,288.0
Quarterly,1.817278340933905,2.001184888636132,-0.010236146994130162,-0.10703005526942067,0.5022547839517628,1.5396556400229497,-0.016980624501723593,-0.23529211550807594,0.036861954826462484,100.0
