lag,beta,tstat,nobs
1,0.0010490643321600212,0.1784116671668583,6798
2,0.004174655729349785,0.7426688328405197,6798
3,0.003908044597013384,0.7632689654686244,6799
4,-0.004985764416135231,-0.969154344874532,6776
5,-0.004956349156169337,-0.9964675265412959,6752
6,-0.0006669487279814391,-0.13050115175342755,6728
7,-0.0015870298587245452,-0.30492823820899345,6704
8,-0.0057232423169536265,-1.1114313791551402,6680
9,-0.008613446168148828,-1.6911562039243946,6656
10,0.010516232399699451,2.0578886067258306,6632
11,0.018119424820630014,3.618733754839824,6608
12,0.0058314646553371385,1.0508250369159917,6584
13,-0.009850496893830786,-1.7998282851265837,6560
14,-0.004683395533683918,-0.9143551848658538,6536
15,-0.018845796398288504,-3.837761192834979,6512
16,-0.010756910556862419,-2.236431189993067,6488
17,-0.007605846529915281,-1.5328688899117966,6464
18,-0.00456359155677889,-0.9010212211125548,6440
19,-0.005004941001447503,-1.0095681951342415,6416
20,-0.0019497261693396403,-0.3672817772523651,6392
21,0.0020794287665255513,0.404324621124979,6368
22,0.0030426277420299995,0.5806974609114393,6344
23,0.00206803966221601,0.4273176476888498,6320
24,-0.0009359509254368998,-0.1782415584073457,6296
25,-0.005568197233720378,-1.0370881772635783,6272
26,0.002704856430128726,0.5418587783227075,6248
27,-0.007416763362025422,-1.4864169934034237,6224
28,-0.009925651471206033,-2.065245545690415,6200
29,-0.004485053783556357,-0.9589382010539655,6176
30,0.0006356112903791674,0.11413220296008089,6152
31,0.000467541986927815,0.08799588071951164,6128
32,-0.009182675773644018,-1.896900529202702,6104
33,0.004687449773907192,0.8720550830381314,6080
34,-0.0025515783474487144,-0.45493280498528466,6056
35,0.0077591600801224184,1.620658782022711,6032
36,0.008837321464507828,1.7182417515010149,6008
37,0.0007604623632107925,0.14515440406593524,5983
38,-0.003856156076048109,-0.734543587863794,5958
39,-0.00240215074169469,-0.4497452439564608,5933
40,-0.001899888554334794,-0.36081446349163393,5908
41,0.005811740960644355,1.107208034500983,5883
42,-0.0010033332856725443,-0.18787492694938318,5858
43,0.0011615154316447455,0.22419547922822378,5833
44,-0.0005438518331347354,-0.10603727740869041,5808
45,0.0020940070338411935,0.382936988751405,5783
46,0.004247885749879477,0.8769959187618347,5758
47,0.0064032091463917945,1.4395802505242297,5733
48,0.008150315661549102,1.5827785916412922,5708
49,0.003083308581483422,0.5732880720029084,5683
50,-0.003697539496213102,-0.6763686871510337,5658
51,0.0017185135417625511,0.3401844270677366,5633
52,-0.00400236740488967,-0.7670925715664153,5609
53,-9.253897238958755e-05,-0.018923555568319102,5585
54,-0.006060958968284155,-1.160563330925445,5561
55,-0.008064965772557508,-1.5623345132852393,5537
56,0.0024754333170882757,0.4906823006171699,5513
57,-0.009181018034542123,-1.6792678195058213,5489
58,-0.008808903852859231,-1.4754159246945122,5465
59,0.003223094102186636,0.6328456033584027,5441
60,0.009998592904859879,1.8991173877277001,5417
