,Alpha (%),t(Alpha),MKT,t(MKT),SMB,t(SMB),HML,t(HML),UMD,t(UMD),R2,N
Monthly,0.797,4.060,0.087,1.476,-0.095,-1.411,-0.103,-1.464,0.263,6.106,0.150,288.000
Quarterly,2.065,3.536,0.084,0.973,-0.101,-0.852,-0.094,-0.976,0.363,6.409,0.273,100.000
