date,turbulence
1992-07-31,39.100769409743656
1992-08-31,47.00303948217914
1992-09-30,65.2280700219205
1992-10-31,57.41412533594527
1992-11-30,27.263493423335404
1992-12-31,14.654628006124762
1993-01-31,29.248844612376203
1993-02-28,32.43815323342085
1993-03-31,40.23149260966752
1993-04-30,43.59429744878075
1993-05-31,13.694968789157231
1993-06-30,26.166144618062795
1993-07-31,36.59160966531874
1993-08-31,27.283423827722103
1993-09-30,30.24616981175225
1993-10-31,22.78030166439704
1993-11-30,31.462264169808943
1993-12-31,30.571903050790993
1994-01-31,74.56075072528965
1994-02-28,35.98641425681741
1994-03-31,38.7034229036883
1994-04-30,23.90553076777237
1994-05-31,51.658067481826244
1994-06-30,65.14698093017375
1994-07-31,27.601514382457836
1994-08-31,25.162973299724683
1994-09-30,35.99278800824533
1994-10-31,25.565701514585154
1994-11-30,40.84938932389252
1994-12-31,38.1378012573636
1995-01-31,32.91843905869175
1995-02-28,44.46527417256024
1995-03-31,59.6450977737797
1995-04-30,31.3260099527357
1995-05-31,30.09488596661406
1995-06-30,29.907222511054208
1995-07-31,19.727804057377426
1995-08-31,33.678501605065556
1995-09-30,29.882024238982208
1995-10-31,20.32674488282767
1995-11-30,22.29328286440969
1995-12-31,50.318648245957284
1996-01-31,40.997845350468324
1996-02-29,29.999105626602965
1996-03-31,36.41113134636309
1996-04-30,76.66283359620431
1996-05-31,29.39272829890505
1996-06-30,40.19313733108852
1996-07-31,28.93725563802674
1996-08-31,23.222988972740662
1996-09-30,30.80501044051172
1996-10-31,33.09875123755232
1996-11-30,38.99186806937458
1996-12-31,31.9326608721896
1997-01-31,43.34692170727485
1997-02-28,40.115489878649804
1997-03-31,28.369012108190294
1997-04-30,36.96127387763192
1997-05-31,43.231687740535094
1997-06-30,33.32533820183601
1997-07-31,59.690653660431636
1997-08-31,30.67328466385127
1997-09-30,43.64908779962668
1997-10-31,28.018397557619814
1997-11-30,37.35859093112723
1997-12-31,29.49092771092024
1998-01-31,19.654122694398737
1998-02-28,30.440068003649756
1998-03-31,62.29330214615304
1998-04-30,17.505381688041815
1998-05-31,40.03843400943954
1998-06-30,39.227069982915665
1998-07-31,38.06783145104828
1998-08-31,56.03054837559658
1998-09-30,59.65984785152805
1998-10-31,66.93766854847718
1998-11-30,43.65336252660093
1998-12-31,55.64342513218826
1999-01-31,34.674860951708276
1999-02-28,46.103350243532546
1999-03-31,54.118619668660386
1999-04-30,33.90688984411279
1999-05-31,30.509398293602935
1999-06-30,58.99969635213291
1999-07-31,31.832442988434327
1999-08-31,33.6896804950586
1999-09-30,32.6414663526173
1999-10-31,30.99224280171562
1999-11-30,41.175833322724216
1999-12-31,87.96790792415106
2000-01-31,85.8608692595877
2000-02-29,56.8578604347118
2000-03-31,112.6660731277217
2000-04-30,60.9367319916062
2000-05-31,51.44839382179734
2000-06-30,43.353426505529605
2000-07-31,30.725852179947857
2000-08-31,38.80858001982186
2000-09-30,19.710298726452052
2000-10-31,22.283548454447395
2000-11-30,28.749370322005177
2000-12-31,66.35442314020291
2001-01-31,50.0885120600173
2001-02-28,28.550744014392446
2001-03-31,29.851723733127326
2001-04-30,33.19935964785498
2001-05-31,28.72937499859967
2001-06-30,31.582634165565768
2001-07-31,41.33546847765102
2001-08-31,30.55066097235056
2001-09-30,33.03253868779053
2001-10-31,26.334376953513072
2001-11-30,47.72034641769837
2001-12-31,29.020160782480648
2002-01-31,22.023187500779677
2002-02-28,17.42153095710209
2002-03-31,33.95972936625019
2002-04-30,34.14668749974835
2002-05-31,29.82736680413029
2002-06-30,40.1026060634063
2002-07-31,36.47866227728308
2002-08-31,29.467472471196572
2002-09-30,47.92893924428975
2002-10-31,45.61471082067565
2002-11-30,12.576584190905923
2002-12-31,34.764923194409704
2003-01-31,35.81896671074671
2003-02-28,57.81721394358458
2003-03-31,32.330015280884666
2003-04-30,37.898528274976286
2003-05-31,44.169452772950045
2003-06-30,35.2552423115145
2003-07-31,55.013044703709625
2003-08-31,45.589401030201515
2003-09-30,39.45184938794701
2003-10-31,46.2104688810277
2003-11-30,23.00855880108178
2003-12-31,65.52320677509185
2004-01-31,32.71729376743488
2004-02-29,33.47306749612145
2004-03-31,35.59370529805224
2004-04-30,33.5753319171619
2004-05-31,30.591876017590696
2004-06-30,53.05323081841145
2004-07-31,51.10447592571379
2004-08-31,34.731162944921365
2004-09-30,51.493412760659396
2004-10-31,19.742085289156208
2004-11-30,40.764900096068565
2004-12-31,19.497513753474763
2005-01-31,19.630733357794497
2005-02-28,28.75987160997196
2005-03-31,19.67296525950799
2005-04-30,19.13721358501689
2005-05-31,24.992658573561286
2005-06-30,27.320230428474638
2005-07-31,18.113599250473015
2005-08-31,57.78521182669677
2005-09-30,52.3121292762586
2005-10-31,19.628473553230187
2005-11-30,20.49037666773944
2005-12-31,21.83074366984614
2006-01-31,31.247666491175863
2006-02-28,16.39739812417857
2006-03-31,34.12406236464543
2006-04-30,38.67259164379388
2006-05-31,43.36434794016422
2006-06-30,18.49068000901165
2006-07-31,27.010977578774636
2006-08-31,42.81321885958522
2006-09-30,22.91688896143075
2006-10-31,50.62183105004912
2006-11-30,30.227743032074518
2006-12-31,21.193532197540936
2007-01-31,28.03801980163826
2007-02-28,15.597411780554243
2007-03-31,36.53975065557653
2007-04-30,34.663942158212656
2007-05-31,15.204990980868356
2007-06-30,51.14684187211073
2007-07-31,29.667457184682505
2007-08-31,26.24251168659654
2007-09-30,27.613835128084776
2007-10-31,32.3044358415482
2007-11-30,29.01624004952785
2007-12-31,26.348065075444644
2008-01-31,37.14834925445762
2008-02-29,47.88776564493829
2008-03-31,72.6204482529549
2008-04-30,37.39704539955263
2008-05-31,30.41135969530446
2008-06-30,38.80349188671294
2008-07-31,42.91110628229941
2008-08-31,36.66552635657166
2008-09-30,84.7142117435379
2008-10-31,91.1145086074327
2008-11-30,74.5738918336723
2008-12-31,104.4576149066529
2009-01-31,88.10576728281326
2009-02-28,48.61145921888808
2009-03-31,45.13374957109689
2009-04-30,39.519935088471314
2009-05-31,56.60241074114414
2009-06-30,51.6759261944768
2009-07-31,28.88653160738758
2009-08-31,56.391615600355706
2009-09-30,51.576902193261844
2009-10-31,20.923050392242168
2009-11-30,31.05873110844425
2009-12-31,29.8504503047243
2010-01-31,27.101837940973414
2010-02-28,30.748174272614513
2010-03-31,34.72997365071422
2010-04-30,20.838770046854577
2010-05-31,30.96496672873265
2010-06-30,37.67406499327148
2010-07-31,47.889499327690714
2010-08-31,33.30557384678517
2010-09-30,36.715352534569945
2010-10-31,27.037083551886617
2010-11-30,43.1659177741378
2010-12-31,30.618217221373975
2011-01-31,25.356153969060028
2011-02-28,35.43750356838787
2011-03-31,43.821469964983194
2011-04-30,35.914274754099594
2011-05-31,28.213690222374936
2011-06-30,36.97147824234103
2011-07-31,43.387871988497245
2011-08-31,42.057344762835164
2011-09-30,47.309306075728266
2011-10-31,32.8014552808681
2011-11-30,25.217595215037523
2011-12-31,56.776947774532736
2012-01-31,22.41953048513627
2012-02-29,22.615869930835878
2012-03-31,22.625179475668318
2012-04-30,29.2014087948328
2012-05-31,33.97152294350645
2012-06-30,35.231344235227
2012-07-31,31.94781220732173
2012-08-31,19.504482380249915
2012-09-30,24.681113119374054
2012-10-31,15.043226198004879
2012-11-30,14.991511902262936
2012-12-31,20.57849249583575
2013-01-31,21.65798474090674
2013-02-28,14.32345674764376
2013-03-31,19.677421835355318
2013-04-30,26.11516357185795
2013-05-31,24.62498569638844
2013-06-30,27.830734623391702
2013-07-31,34.56106384160906
2013-08-31,23.405294315310023
2013-09-30,21.937974058608948
2013-10-31,13.093477211391598
2013-11-30,16.612529405261792
2013-12-31,14.830215396917573
2014-01-31,26.903665145364847
2014-02-28,34.36807736062254
2014-03-31,23.5294748962676
2014-04-30,12.631206049771931
2014-05-31,14.310022098796399
2014-06-30,24.635123094944788
2014-07-31,23.945354802107786
2014-08-31,58.89611059286755
2014-09-30,20.210719780173147
2014-10-31,48.945834025806114
2014-11-30,18.564155427987878
2014-12-31,21.361927472135196
2015-01-31,76.65545810812762
2015-02-28,94.29449130482176
2015-03-31,52.4190686074306
2015-04-30,31.040729834297583
2015-05-31,17.397932175456365
2015-06-30,28.572043761838696
2015-07-31,25.738125402168674
2015-08-31,18.36010915849739
2015-09-30,30.541905538930152
2015-10-31,26.714407900089423
2015-11-30,23.661806532805876
2015-12-31,24.667354083162433
2016-01-31,27.914330741875464
2016-02-29,36.6563675046048
2016-03-31,18.74253989273853
2016-04-30,36.85322884505494
2016-05-31,23.605813143718603
2016-06-30,55.936748974364114
2016-07-31,30.85910531504032
2016-08-31,23.898708416163483
2016-09-30,27.474216028850787
2016-10-31,23.062294716833954
2016-11-30,44.52874483955487
2016-12-31,31.354410948079586
2017-01-31,17.06631982778328
2017-02-28,16.98688919380746
2017-03-31,24.988961896254
2017-04-30,24.236473657926012
2017-05-31,14.106331757490612
2017-06-30,23.25278920543631
2017-07-31,24.117615491630993
2017-08-31,40.35515907136637
2017-09-30,30.788311985493678
2017-10-31,17.932816944659468
2017-11-30,15.363088238186501
2017-12-31,17.054771566193423
2018-01-31,29.61811225611172
2018-02-28,17.190898932116593
2018-03-31,18.395767127689865
2018-04-30,35.1829782478712
2018-05-31,19.10832325304382
2018-06-30,21.409741526971096
2018-07-31,18.38651141574722
2018-08-31,20.851462009442294
2018-09-30,20.72593154528933
2018-10-31,27.886314211336195
2018-11-30,29.757451589123384
2018-12-31,24.13873324367525
2019-01-31,21.949412194982592
2019-02-28,14.490741532766188
2019-03-31,40.02774460639988
2019-04-30,11.501270863681446
2019-05-31,32.430111115884465
2019-06-30,20.035494122709906
2019-07-31,13.99078751429628
2019-08-31,34.74986250106502
2019-09-30,16.325568116112166
2019-10-31,14.21136963148864
2019-11-30,23.527930587100265
2019-12-31,11.365101511147756
2020-01-31,27.089471519068123
2020-02-29,24.453458475618792
2020-03-31,98.39324837342468
2020-04-30,70.3024281798657
2020-05-31,104.31690018098516
2020-06-30,40.96944928411151
2020-07-31,44.90969166147578
2020-08-31,26.61635100085882
2020-09-30,45.7970154161856
2020-10-31,21.261689481231056
2020-11-30,55.59098523208537
2020-12-31,19.167293383865026
2021-01-31,15.432255558536239
2021-02-28,32.03199754057855
2021-03-31,28.1008721230396
2021-04-30,45.523453706250834
2021-05-31,16.153418776251364
2021-06-30,27.861482984374543
2021-07-31,16.881816847472862
2021-08-31,15.884944807593858
2021-09-30,25.962712090930143
2021-10-31,30.114123260395495
2021-11-30,21.846245251760354
