Family,logL,AIC,BIC,lambda_L,lambda_U,param,N
Gaussian,2.581592017106312,-3.163184034212624,0.49629818154699734,0.0,0.0,rho=0.152,287
Student-t,11.089442243561503,-18.178884487123007,-10.859920055603764,0.1550647077381746,0.1550647077381746,"rho=0.157, df=3.141",287
Clayton,0.6563432402425737,0.6873135195148525,4.346795735274474,0.00035060056558301105,0.0,theta=0.087,287
Gumbel,7.134780145003374,-12.269560290006748,-8.610078074247127,0.0,0.1617555936711479,theta=1.139,287
Frank,3.0078006825082015,-4.015601365016403,-0.3561191492567817,0.0,0.0,theta=0.929,287
Panic (Meucci),9.139379393801935,-12.27875878760387,-1.3003121403250049,0.21735,0.22065,"rho_calm=0.000, rho_panic=0.798, p=0.259",287
