date,best_family,lambda_L,lambda_U,lambda_L_t,lambda_L_cl,AIC_best,AIC_gauss,regime
1991-01-31,Student-t,0.16765636518726,0.16765636518726,0.16765636518726,0.00033829734511189386,-1.0128096276710696,1.4472142483619155,Tail-dependent
1991-02-28,Student-t,0.13895478592395116,0.13895478592395116,0.13895478592395116,7.174580532930383e-06,-0.15151428674280076,2.0100162716801075,Tail-dependent
1991-03-31,Student-t,0.14865131366194034,0.14865131366194034,0.14865131366194034,4.458172718517814e-05,-0.3149530652158603,1.8704383779802394,Tail-dependent
1991-04-30,Student-t,0.14754713539537298,0.14754713539537298,0.14754713539537298,2.961987587460241e-05,-0.3208716474774569,1.8869689925637974,Tail-dependent
1991-05-31,Student-t,0.15083297336925747,0.15083297336925747,0.15083297336925747,3.7455931139499e-05,-0.6289154760490065,1.9423657604464155,Tail-dependent
1991-06-30,Student-t,0.1592173203185818,0.1592173203185818,0.1592173203185818,0.0004422826088692211,-0.9081509963152525,1.8346364062716436,Tail-dependent
1991-07-31,Student-t,0.15169267311062426,0.15169267311062426,0.15169267311062426,0.00010335632248570614,-0.8991646521872907,2.0000000000000053,Tail-dependent
1991-08-31,Student-t,0.1384257482829426,0.1384257482829426,0.1384257482829426,2.989514523625307e-06,-1.5613930551092086,2.2686372163793,Tail-dependent
1991-09-30,Student-t,0.1286734646998502,0.1286734646998502,0.1286734646998502,1.8951476469554946e-08,-2.1636601902167003,2.411628078856268,Tail-dependent
1991-10-31,Student-t,0.13135888572095544,0.13135888572095544,0.13135888572095544,5.136774751056612e-07,-2.2512919345670124,2.356044281503279,Tail-dependent
1991-11-30,Student-t,0.1350947352459828,0.1350947352459828,0.1350947352459828,2.109517964513167e-05,-2.186149137112494,2.3357629526263217,Tail-dependent
1991-12-31,Student-t,0.16709459187582948,0.16709459187582948,0.16709459187582948,0.0003254626690440849,-1.7669005028960418,2.1198732425352587,Tail-dependent
1992-01-31,Student-t,0.13872996193709483,0.13872996193709483,0.13872996193709483,0.00017362133652003246,-0.24157642221410391,2.1653482868822604,Tail-dependent
1992-02-29,Student-t,0.13434193391266167,0.13434193391266167,0.13434193391266167,5.387383943234433e-05,-0.02232657259588766,2.2111068145194785,Tail-dependent
1992-03-31,Student-t,0.14726896697956837,0.14726896697956837,0.14726896697956837,0.0006935631415964707,-0.4170888355315503,2.1654489376311115,Tail-dependent
1992-04-30,Student-t,0.14621375769245382,0.14621375769245382,0.14621375769245382,7.998865444687215e-05,-0.7656617193490627,2.1749600453753737,Tail-dependent
