regime,lambda_L_count,lambda_L_mean,lambda_L_std,lambda_L_min,lambda_L_25%,lambda_L_50%,lambda_L_75%,lambda_L_max,lambda_U_count,lambda_U_mean,lambda_U_std,lambda_U_min,lambda_U_25%,lambda_U_50%,lambda_U_75%,lambda_U_max,AIC_best_count,AIC_best_mean,AIC_best_std,AIC_best_min,AIC_best_25%,AIC_best_50%,AIC_best_75%,AIC_best_max,AIC_gauss_count,AIC_gauss_mean,AIC_gauss_std,AIC_gauss_min,AIC_gauss_25%,AIC_gauss_50%,AIC_gauss_75%,AIC_gauss_max
Gaussian,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,-2.2858,7.2234,-16.821,0.9146,1.0489,1.1263,1.8825,15.0,-2.2858,7.2234,-16.821,0.9146,1.0489,1.1263,1.8825
Tail-dependent,213.0,0.1811,0.1087,0.0,0.1207,0.1855,0.2602,0.434,213.0,0.1419,0.0998,0.0,0.0,0.1565,0.2235,0.3288,213.0,-4.9721,3.8855,-18.9186,-6.7735,-4.718,-2.4287,1.7275,213.0,-1.2169,4.0557,-18.479,-3.6375,0.4911,1.9304,2.4903
