,Alpha (%),t(Alpha),MKT,t(MKT),SMB,t(SMB),HML,t(HML),UMD,t(UMD),R2,N
Monthly,0.7970661225905784,4.060306491893277,0.08736394547628723,1.476114972102978,-0.09527272758013675,-1.4112564427102483,-0.1025158094355627,-1.463605870864807,0.2631673539762919,6.106119318254921,0.14968862525885585,288.0
Quarterly,2.0647925564339182,3.535790300617314,0.08359043376104691,0.9733210135369595,-0.10077415607934435,-0.8520698982979631,-0.09432373474929262,-0.9755258488297903,0.36281133541369304,6.409446045463486,0.2731564794762622,100.0
